D,m,k,B,seed,method,overall_sign,band_sign,band_spearman
32,2,1,64,4,random,0.64285,0.4909431605246721,0.011580731754448379
32,2,1,64,4,adaptive,0.6737,0.49312929419113055,0.028127424888937467
8,2,3,512,4,sobol,0.9462,0.7410714285714286,0.6568569627704981
8,2,3,512,4,random,0.911,0.6591386554621849,0.4411339048081008
8,2,3,512,4,adaptive,0.94315,0.7271533613445378,0.6444897576559595
32,2,1,128,0,sobol,0.76305,0.5027720027720027,0.07280615960186544
32,2,1,128,0,random,0.73925,0.4875259875259875,0.013887806873755357
32,2,1,128,0,adaptive,0.73935,0.5076230076230076,0.06874049224620932
32,2,1,128,1,sobol,0.75045,0.4839893262174783,0.013043149693992392
32,2,1,128,1,random,0.7505,0.49799866577718477,0.05643842766534988
32,2,1,128,1,adaptive,0.7558,0.49132755170113407,0.03262843232604111
32,2,1,128,2,sobol,0.77095,0.47808764940239046,0.03673454132636482
32,2,1,128,2,random,0.7648,0.48306772908366535,0.01001156250438591
32,2,1,128,2,adaptive,0.78815,0.46945551128818064,0.01731974981125763
32,2,1,128,3,sobol,0.7266,0.4780459435882524,0.014561975124343058
32,2,1,128,3,random,0.7268,0.4853154986914801,0.026473829052849108
32,2,1,128,3,adaptive,0.6811,0.4856062808956092,0.008014476348740423
32,2,1,128,4,sobol,0.7519,0.47845096814490945,0.037889969126666395
32,2,1,128,4,random,0.7097,0.4772017489069332,-0.0012047679029840656
32,2,1,128,4,adaptive,0.7411,0.4740787008119925,0.023120380122959677
32,2,1,256,0,sobol,0.77185,0.4923769923769924,0.08001645964581468
32,2,1,256,0,random,0.7682,0.4889119889119889,0.05314172603995686
32,2,1,256,0,adaptive,0.7935,0.4774774774774775,0.04168030275729944
32,2,1,256,1,sobol,0.77625,0.4809873248832555,0.050641846029946265
32,2,1,256,1,random,0.75465,0.47531687791861243,0.02917468683331042
32,2,1,256,1,adaptive,0.8035,0.48432288192128087,0.046150472771888267
32,2,1,256,2,sobol,0.77015,0.48306772908366535,0.0829691336017867
32,2,1,256,2,random,0.78815,0.4747675962815405,0.061168146414220005
32,2,1,256,2,adaptive,0.81795,0.46613545816733065,0.03622447502534743
32,2,1,256,3,sobol,0.72935,0.4789182902006397,0.014602765356581842
32,2,1,256,3,random,0.7155,0.4870601919162547,0.05195983417235783
32,2,1,256,3,adaptive,0.784,0.468740913056121,0.02339301290217835
32,2,1,256,4,sobol,0.79415,0.47657713928794504,0.06352913048146518
32,2,1,256,4,random,0.7298,0.47251717676452215,0.06314804379270465
32,2,1,256,4,adaptive,0.80095,0.46439725171767643,0.01542567801715715
32,2,1,512,0,sobol,0.77075,0.48267498267498266,0.08796290459000065
32,2,1,512,0,random,0.7719,0.4896049896049896,0.09211017001812889
32,2,1,512,0,adaptive,0.8207,0.47054747054747054,0.039296694615973835
32,2,1,512,1,sobol,0.76185,0.4866577718478986,0.06718919740071332
32,2,1,512,1,random,0.7596,0.5006671114076051,0.07614112765529703
32,2,1,512,1,adaptive,0.8129,0.47364909939959976,0.028311231644742193
32,2,1,512,2,sobol,0.77465,0.4810756972111554,0.07088529072170759
32,2,1,512,2,random,0.7722,0.47377158034528555,0.05055483728016748
32,2,1,512,2,adaptive,0.80975,0.4721115537848606,0.04225740962727409
32,2,3,64,0,sobol,0.5324,0.4386341463414634,-0.021046020742252123
32,2,3,64,0,random,0.5147,0.4741463414634146,0.004247197659590643
32,2,3,64,0,adaptive,0.52385,0.4768780487804878,0.002889543608452612
32,2,3,64,1,sobol,0.57985,0.47198565665620795,-0.007625457384412094
32,2,3,64,1,random,0.57855,0.48767368892873153,0.018990499512869727
32,2,3,64,1,adaptive,0.58235,0.48677722994173017,0.018370438675922376
32,2,3,64,2,sobol,0.56645,0.4599129894344313,0.003325090283599473
32,2,3,64,2,random,0.5571,0.4740004143360265,0.0007897204695566237
32,2,3,64,2,adaptive,0.5157,0.45804847731510256,-0.003277451451630601
32,2,3,64,3,sobol,0.5832,0.46930829134218965,0.024258033276660217
32,2,3,64,3,random,0.55285,0.4857993586807146,0.020877724171649296
32,2,3,64,3,adaptive,0.55265,0.472743930371049,0.005007358847249235
32,2,1,512,4,sobol,0.74185,0.4737663960024984,0.024156321994908463
32,2,1,512,4,random,0.7581,0.48094940662086194,0.04759712277442733
