D,m,k,B,seed,method,overall_sign,band_sign,band_spearman
6,2,1,1024,2,adaptive,0.99415,0.960352422907489,0.9876924837337906
6,2,1,1024,0,sobol,0.98465,0.9011590470057952,0.947300773642227
6,2,1,1024,0,random,0.9923,0.9504185447520928,0.9791525205759345
6,2,1,1024,0,adaptive,0.9936,0.9587894397939472,0.9878581880640954
6,2,1,1024,3,sobol,0.99335,0.9562643867148964,0.9792374321246434
6,2,1,1024,3,random,0.9931,0.9546201907267347,0.9783869618074418
6,2,1,1024,3,adaptive,0.99565,0.9713909898059849,0.9929026491405921
6,2,1,1024,1,sobol,0.99485,0.9627621113521331,0.9908353621136319
6,2,1,1024,1,random,0.99195,0.9417932031814895,0.9936129650062991
6,2,1,1024,1,adaptive,0.9965,0.9746926970354303,0.9959681089191869
6,2,1,1024,5,sobol,0.99205,0.9459918478260869,0.9749637277648615
6,2,1,1024,5,random,0.99275,0.9507472826086957,0.9780438240197772
6,2,1,1024,5,adaptive,0.9971,0.9802989130434783,0.9929984112773236
6,2,1,1024,6,sobol,0.9943,0.9626229508196721,0.9872765746980956
6,2,1,1024,6,random,0.99055,0.9380327868852459,0.9727045267312703
6,2,1,1024,6,adaptive,0.9932,0.9554098360655737,0.9877120109444099
6,2,1,1024,7,sobol,0.99365,0.9561766735679779,0.9876180526403731
6,2,1,1024,7,random,0.98945,0.9271911663216011,0.9777661150228208
6,2,1,1024,7,adaptive,0.9947,0.9634230503795721,0.9916985094737703
6,2,1,1024,4,sobol,0.9954,0.9647103950901419,0.9903891319042814
6,2,1,1024,4,random,0.9929,0.9455312619869581,0.9747145914561826
6,2,1,1024,4,adaptive,0.9936,0.9509014192558496,0.987550626932503
6,2,1,2048,1,sobol,0.99565,0.9685466377440347,0.9940541231741622
6,2,1,2048,1,random,0.99255,0.9461315979754158,0.9934878812968329
6,2,1,2048,1,adaptive,0.9959,0.970354302241504,0.9964286433381659
6,2,1,2048,3,sobol,0.9899,0.9335744820782638,0.9929121075772872
6,2,1,2048,3,random,0.9936,0.9579085827030582,0.9920359963027181
6,2,1,2048,3,adaptive,0.9969,0.9796119697467938,0.9966004088796072
6,2,1,2048,0,sobol,0.9956,0.9716677398583387,0.9932644425606633
6,2,1,2048,0,random,0.99315,0.9558918222794591,0.9882482985406886
6,2,1,2048,0,adaptive,0.9961,0.9748873148744366,0.9941594296399778
6,2,1,2048,2,sobol,0.9951,0.9667909183327685,0.9936743168131245
6,2,1,2048,2,random,0.9958,0.9715350728566587,0.9932104433037393
6,2,1,2048,2,adaptive,0.9967,0.9776347001016604,0.995992597759174
6,2,1,2048,5,sobol,0.9942,0.9605978260869565,0.991740196869629
6,2,1,2048,5,random,0.9942,0.9605978260869565,0.9936010259746582
6,2,1,2048,5,adaptive,0.9954,0.96875,0.9932135841187779
6,2,1,2048,7,sobol,0.99615,0.9734299516908212,0.9937201947318166
6,2,1,2048,7,random,0.9929,0.9510006901311249,0.9899171715962307
6,2,1,2048,7,adaptive,0.99635,0.9748102139406487,0.995836397614398
6,2,1,2048,4,sobol,0.9928,0.9447640966628308,0.9871078247270851
6,2,1,2048,4,random,0.9964,0.9723820483314154,0.996255769093514
6,2,1,2048,4,adaptive,0.9963,0.971614883007288,0.9918616244794459
6,2,1,2048,6,sobol,0.9954,0.9698360655737704,0.9947737427911558
6,2,1,2048,6,random,0.9928,0.9527868852459016,0.9892096844437037
6,2,1,2048,6,adaptive,0.99685,0.979344262295082,0.9960874318843134
8,2,1,256,1,sobol,0.842,0.5304859176725472,0.1595107880550122
8,2,1,256,1,random,0.84855,0.5394614670380687,0.19192664126576342
8,2,1,256,1,adaptive,0.8385,0.5109873104302074,0.11443926017471312
8,2,1,256,0,sobol,0.89675,0.6230818414322251,0.29713039474438036
8,2,1,256,0,random,0.86835,0.5866368286445013,0.22460418122234363
8,2,1,256,0,adaptive,0.86585,0.5415601023017903,0.176602452946003
