dataset,d,seed,sampler,score_fid,attr_cosine,attr_top1,attr_top3_jac,attr_rank,decision_f1
47_yeast,8,9,uniform_shell,0.8057372449014827,0.9002419179826779,0.33925049309664695,0.4355029585798817,0.39222316145393077,0.4032258064516129
47_yeast,8,9,disagreement_shell,0.7727368531062547,0.9003551553553671,0.378698224852071,0.43017751479289945,0.36813186813186816,0.45901639344262296
47_yeast,8,9,shell_box_mix,0.73828981152854,0.895530187314299,0.27218934911242604,0.4059171597633136,0.32694655771578846,0.4132231404958678
47_yeast,8,2,normals_only,0.7253784322942396,0.9204282709152136,0.5009861932938856,0.5664694280078897,0.608444318361791,0.2905982905982906
47_yeast,8,2,uniform_shell,0.8070921842146578,0.9104862019730489,0.3609467455621302,0.4631163708086785,0.4497980651826807,0.34328358208955223
47_yeast,8,2,disagreement_shell,0.821730593130094,0.9129528716847115,0.32938856015779094,0.48777120315581857,0.4909833755987603,0.3492063492063492
47_yeast,8,2,shell_box_mix,0.7916871273398947,0.901689756181992,0.2603550295857988,0.4453648915187377,0.37052690898844753,0.39316239316239315
38_thyroid,6,5,normals_only,0.45465667989615344,0.9499622845044847,0.45161290322580644,0.6935483870967742,0.6350230414746545,0.6388888888888888
38_thyroid,6,5,uniform_shell,-0.14398257288651484,0.9197456754501291,0.22580645161290322,0.49677419354838714,0.36405529953917065,0.5463917525773195
38_thyroid,6,5,disagreement_shell,0.31659753513771594,0.9499383561127294,0.20430107526881722,0.6752688172043011,0.5195084485407067,0.7248908296943232
38_thyroid,6,5,shell_box_mix,0.6590522514995075,0.9507197973738426,0.1935483870967742,0.5064516129032259,0.39416282642089095,0.7350427350427351
26_optdigits,64,0,normals_only,0.344524786959977,0.8919775359719158,0.006666666666666667,0.046,0.15851343101343096,0.5017421602787456
26_optdigits,64,0,uniform_shell,0.26801706098109523,0.876381957490598,0.0,0.018666666666666665,0.07361601673508775,0.3185840707964602
26_optdigits,64,0,disagreement_shell,-0.019967890650418787,0.8737335310857925,0.0,0.03266666666666667,-0.002938644688644689,0.3463203463203463
26_optdigits,64,0,shell_box_mix,0.46645141905190296,0.8829412605076415,0.0,0.014666666666666668,0.003213374030648537,0.2767857142857143
47_yeast,8,4,normals_only,0.8016596280109187,0.9152952384302426,0.47731755424063116,0.5536489151873768,0.5464282261867551,0.48854961832061067
47_yeast,8,4,uniform_shell,0.86285270202891,0.9095658857332497,0.3826429980276134,0.48698224852071015,0.4418145956607496,0.44776119402985076
47_yeast,8,4,disagreement_shell,0.8038325031663592,0.9045002627376705,0.3708086785009862,0.4637080867850099,0.39518174133558753,0.45161290322580644
47_yeast,8,4,shell_box_mix,0.7633947237935723,0.8993067091105226,0.2702169625246548,0.4072978303747535,0.33122006198929277,0.46616541353383456
38_thyroid,6,4,normals_only,0.35910596520545485,0.9061875814136555,0.23655913978494625,0.42258064516129046,0.1465437788018433,0.5971563981042654
38_thyroid,6,4,uniform_shell,0.5112052758795619,0.9263493533290899,0.2903225806451613,0.3956989247311829,0.09185867895545319,0.5643564356435643
38_thyroid,6,4,disagreement_shell,0.546387753275044,0.9312032156084964,0.17204301075268819,0.4397849462365592,0.20860215053763442,0.647887323943662
38_thyroid,6,4,shell_box_mix,0.3729969263823818,0.9438885769690034,0.26881720430107525,0.4698924731182796,0.3517665130568357,0.5581395348837209
28_pendigits,16,8,normals_only,-0.20938818732120557,0.9003416793250492,0.00641025641025641,0.07051282051282051,-0.10718325791855203,0.5321100917431193
28_pendigits,16,8,uniform_shell,0.4497036557032447,0.9241420766278086,0.00641025641025641,0.1423076923076923,0.008239064856711917,0.34540389972144847
28_pendigits,16,8,disagreement_shell,0.264968152866242,0.9346241144705771,0.1282051282051282,0.1641025641025641,0.14306184012066364,0.5807962529274004
28_pendigits,16,8,shell_box_mix,0.5941584612223609,0.9274501890577915,0.019230769230769232,0.10576923076923077,-0.07882730015082956,0.5481481481481482
30_satellite,36,1,normals_only,0.7685461912104005,0.8976552073282811,0.12082514734774066,0.12352652259332025,0.1934000965314529,0.749631087063453
30_satellite,36,1,uniform_shell,0.9111793515820008,0.9122512429489144,0.04862475442043222,0.08187622789783891,0.10088851130108498,0.8630878069080317
30_satellite,36,1,disagreement_shell,0.8082348465837417,0.9053449283448138,0.03143418467583497,0.06669941060903734,0.04443605918172893,0.791023842917251
30_satellite,36,1,shell_box_mix,0.8255687742330239,0.9063176193241699,0.04027504911591356,0.07824165029469549,0.06345485188395059,0.8067303319690768
27_PageBlocks,10,0,normals_only,0.44497558961146694,0.8838734581649477,0.27450980392156865,0.36176470588235293,0.2881560539654657,0.7536617842876165
27_PageBlocks,10,0,uniform_shell,0.7210655761618371,0.9156918693556365,0.19215686274509805,0.37784313725490193,0.2881493238895047,0.8781065088757396
27_PageBlocks,10,0,disagreement_shell,0.6557666390829013,0.9129740653877509,0.19215686274509805,0.34901960784313724,0.253903743315508,0.8317535545023697
27_PageBlocks,10,0,shell_box_mix,0.8468232118856102,0.9260901813501562,0.32745098039215687,0.43686274509803924,0.40041919783271784,0.8525402726146221
30_satellite,36,3,normals_only,0.678173968109763,0.9036527573043662,0.1719056974459725,0.19921414538310414,0.25668277138046314,0.6131621187800963
30_satellite,36,3,uniform_shell,0.7869046022449705,0.9036035707482085,0.10903732809430255,0.09764243614931238,-0.014073321146012698,0.8158362989323843
30_satellite,36,3,disagreement_shell,0.7799262292851907,0.9066991839145295,0.12082514734774066,0.08855599214145383,0.030296743558040223,0.8063520070577856
30_satellite,36,3,shell_box_mix,0.861758567565385,0.9047522432924423,0.05108055009823183,0.11016699410609038,0.010797915513043215,0.833901192504259
27_PageBlocks,10,2,normals_only,0.6813410640247165,0.9092884140671346,0.2627450980392157,0.34509803921568627,0.3113595229107104,0.7580645161290323
27_PageBlocks,10,2,uniform_shell,0.6235924646791732,0.9229808401276381,0.16862745098039217,0.27960784313725495,0.21340671463034414,0.7048458149779736
