dataset,teacher,d,seed,sampler,teacher_auroc,coverage,coverage_wide,radiality,fid,student_auroc,topk
12_fault,ocsvm,27,9,normals_only,0.5880624071322437,0.9093610698365527,0.9093610698365527,0.6665140916486259,0.7779895701518071,0.544410104011887,0.8677563150074294
12_fault,ocsvm,27,9,gaussian_jitter,0.5880624071322437,0.9093610698365527,0.9093610698365527,0.6665140916486259,0.8137818427356391,0.5458781575037148,0.8558692421991084
12_fault,ocsvm,27,9,uniform_box,0.5880624071322437,0.9093610698365527,0.9093610698365527,0.6665140916486259,0.7754443873704261,0.5516760772659732,0.8484398216939079
12_fault,ocsvm,27,9,uniform_shell,0.5880624071322437,0.9093610698365527,0.9093610698365527,0.6665140916486259,0.7693627500382653,0.5542704309063893,0.8514115898959881
12_fault,ocsvm,27,9,wide_shell,0.5880624071322437,0.9093610698365527,0.9093610698365527,0.6665140916486259,0.8020401144615766,0.5545111441307579,0.8647845468053492
12_fault,ocsvm,27,9,multiscale_shell,0.5880624071322437,0.9093610698365527,0.9093610698365527,0.6665140916486259,0.7968214110922918,0.5621277860326894,0.8588410104011887
12_fault,ocsvm,27,9,shell_box_mix,0.5880624071322437,0.9093610698365527,0.9093610698365527,0.6665140916486259,0.7638760332374449,0.5908707280832095,0.8439821693907875
20_letter,iforest,32,0,normals_only,0.6288199999999999,1.0,1.0,0.506018601860186,0.2277107710771077,0.49783999999999995,0.5
20_letter,iforest,32,0,gaussian_jitter,0.6288199999999999,1.0,1.0,0.506018601860186,0.3924632463246324,0.7021999999999999,0.54
20_letter,iforest,32,0,uniform_box,0.6288199999999999,1.0,1.0,0.506018601860186,0.42574257425742573,0.5686599999999999,0.58
20_letter,iforest,32,0,uniform_shell,0.6288199999999999,1.0,1.0,0.506018601860186,0.46549054905490544,0.64364,0.49
20_letter,iforest,32,0,wide_shell,0.6288199999999999,1.0,1.0,0.506018601860186,0.4587818781878188,0.65836,0.48
20_letter,iforest,32,0,multiscale_shell,0.6288199999999999,1.0,1.0,0.506018601860186,0.5024902490249025,0.5635,0.57
20_letter,iforest,32,0,shell_box_mix,0.6288199999999999,1.0,1.0,0.506018601860186,0.5887308730873086,0.62446,0.55
20_letter,knn,32,5,normals_only,0.87388,1.0,1.0,0.9017821782178217,0.36254425442544247,0.5800000000000001,0.42
20_letter,knn,32,5,gaussian_jitter,0.87388,1.0,1.0,0.9017821782178217,0.5948274827482747,0.6156200000000001,0.51
20_letter,knn,32,5,uniform_box,0.87388,1.0,1.0,0.9017821782178217,0.3941074107410741,0.6597,0.51
20_letter,knn,32,5,uniform_shell,0.87388,1.0,1.0,0.9017821782178217,0.5417701770177017,0.6439400000000001,0.53
20_letter,knn,32,5,wide_shell,0.87388,1.0,1.0,0.9017821782178217,0.49562556255625556,0.63404,0.44
20_letter,knn,32,5,multiscale_shell,0.87388,1.0,1.0,0.9017821782178217,0.33831383138313825,0.6709200000000001,0.46
20_letter,knn,32,5,shell_box_mix,0.87388,1.0,1.0,0.9017821782178217,0.6314311431143114,0.64748,0.55
20_letter,knn,32,7,normals_only,0.8794,1.0,1.0,0.9276087608760875,0.16132013201320133,0.6154000000000001,0.46
20_letter,knn,32,7,gaussian_jitter,0.8794,1.0,1.0,0.9276087608760875,0.3532193219321932,0.6913199999999999,0.55
20_letter,knn,32,7,uniform_box,0.8794,1.0,1.0,0.9276087608760875,0.4955415541554155,0.6889800000000001,0.65
20_letter,knn,32,7,uniform_shell,0.8794,1.0,1.0,0.9276087608760875,0.5790939093909391,0.7474599999999999,0.64
20_letter,knn,32,7,wide_shell,0.8794,1.0,1.0,0.9276087608760875,0.44440444044404437,0.70092,0.51
20_letter,knn,32,7,multiscale_shell,0.8794,1.0,1.0,0.9276087608760875,0.505058505850585,0.72016,0.54
20_letter,knn,32,7,shell_box_mix,0.8794,1.0,1.0,0.9276087608760875,0.4631263126312631,0.6505199999999999,0.56
20_letter,knn,32,4,normals_only,0.87976,1.0,1.0,0.9247404740474048,0.35108310831083106,0.6743,0.45
20_letter,knn,32,4,gaussian_jitter,0.87976,1.0,1.0,0.9247404740474048,0.6595499549954995,0.6537600000000001,0.55
20_letter,knn,32,4,uniform_box,0.87976,1.0,1.0,0.9247404740474048,0.2857365736573657,0.6592,0.49
20_letter,knn,32,4,uniform_shell,0.87976,1.0,1.0,0.9247404740474048,0.3642484248424842,0.79132,0.55
20_letter,knn,32,4,wide_shell,0.87976,1.0,1.0,0.9247404740474048,0.5785898589858984,0.7407,0.53
20_letter,knn,32,4,multiscale_shell,0.87976,1.0,1.0,0.9247404740474048,0.48270027002700266,0.7642399999999999,0.54
20_letter,knn,32,4,shell_box_mix,0.87976,1.0,1.0,0.9247404740474048,0.48505250525052496,0.7048599999999999,0.56
20_letter,iforest,32,5,normals_only,0.6738599999999999,1.0,1.0,0.5493669366936693,0.4700030003000299,0.5869000000000001,0.53
20_letter,iforest,32,5,gaussian_jitter,0.6738599999999999,1.0,1.0,0.5493669366936693,0.5528712871287128,0.57054,0.52
20_letter,iforest,32,5,uniform_box,0.6738599999999999,1.0,1.0,0.5493669366936693,0.5325412541254125,0.57754,0.66
20_letter,iforest,32,5,uniform_shell,0.6738599999999999,1.0,1.0,0.5493669366936693,0.4469366936693669,0.72442,0.59
20_letter,iforest,32,5,wide_shell,0.6738599999999999,1.0,1.0,0.5493669366936693,0.5121272127212722,0.61886,0.54
20_letter,iforest,32,5,multiscale_shell,0.6738599999999999,1.0,1.0,0.5493669366936693,0.553999399939994,0.67088,0.61
20_letter,iforest,32,5,shell_box_mix,0.6738599999999999,1.0,1.0,0.5493669366936693,0.5149594959495949,0.62932,0.49
12_fault,iforest,27,5,normals_only,0.6473254086181278,0.8930163447251115,0.8959881129271917,0.7179673952684764,0.803464664113978,0.636927191679049,0.9004457652303121
12_fault,iforest,27,5,gaussian_jitter,0.6473254086181278,0.8930163447251115,0.8959881129271917,0.7179673952684764,0.8120486524687786,0.6139494799405647,0.8558692421991084
12_fault,iforest,27,5,uniform_box,0.6473254086181278,0.8930163447251115,0.8959881129271917,0.7179673952684764,0.8704031051135452,0.6410995542347697,0.8915304606240714
12_fault,iforest,27,5,uniform_shell,0.6473254086181278,0.8930163447251115,0.8959881129271917,0.7179673952684764,0.802314387313737,0.6308112927191679,0.8588410104011887
12_fault,iforest,27,5,wide_shell,0.6473254086181278,0.8930163447251115,0.8959881129271917,0.7179673952684764,0.8786072765489193,0.6547161961367014,0.8930163447251115
12_fault,iforest,27,5,multiscale_shell,0.6473254086181278,0.8930163447251115,0.8959881129271917,0.7179673952684764,0.817052094756448,0.6283031203566122,0.888558692421991
12_fault,iforest,27,5,shell_box_mix,0.6473254086181278,0.8930163447251115,0.8959881129271917,0.7179673952684764,0.8444425714298311,0.667369985141159,0.8989598811292719
20_letter,iforest,32,7,normals_only,0.6681,1.0,1.0,0.5239123912391238,0.2686708670867087,0.55108,0.47
20_letter,iforest,32,7,gaussian_jitter,0.6681,1.0,1.0,0.5239123912391238,0.48930093009300923,0.6972200000000001,0.52
20_letter,iforest,32,7,uniform_box,0.6681,1.0,1.0,0.5239123912391238,0.5688688868886889,0.56218,0.62
20_letter,iforest,32,7,uniform_shell,0.6681,1.0,1.0,0.5239123912391238,0.46709870987098706,0.65206,0.57
20_letter,iforest,32,7,wide_shell,0.6681,1.0,1.0,0.5239123912391238,0.5315211521152114,0.6226,0.5
20_letter,iforest,32,7,multiscale_shell,0.6681,1.0,1.0,0.5239123912391238,0.5247884788478848,0.6476000000000001,0.51
20_letter,iforest,32,7,shell_box_mix,0.6681,1.0,1.0,0.5239123912391238,0.21236123612361235,0.6790399999999999,0.51
12_fault,ae,27,1,normals_only,0.6977028231797919,0.924219910846954,0.924219910846954,0.5844082083916234,0.3143018864240331,0.554187221396731,0.725111441307578
12_fault,ae,27,1,gaussian_jitter,0.6977028231797919,0.924219910846954,0.924219910846954,0.5844082083916234,0.5666305089987635,0.6090549777117386,0.774145616641902
12_fault,ae,27,1,uniform_box,0.6977028231797919,0.924219910846954,0.924219910846954,0.5844082083916234,0.45035433044827855,0.5966121842496286,0.7533432392273403
12_fault,ae,27,1,uniform_shell,0.6977028231797919,0.924219910846954,0.924219910846954,0.5844082083916234,0.5196974125208569,0.6381812778603269,0.763744427934621
12_fault,ae,27,1,wide_shell,0.6977028231797919,0.924219910846954,0.924219910846954,0.5844082083916234,0.6296639769791894,0.6050728083209509,0.7860326894502229
12_fault,ae,27,1,multiscale_shell,0.6977028231797919,0.924219910846954,0.924219910846954,0.5844082083916234,0.6420010194588459,0.6211441307578008,0.8053491827637445
12_fault,ae,27,1,shell_box_mix,0.6977028231797919,0.924219910846954,0.924219910846954,0.5844082083916234,0.5372581186653876,0.621919762258544,0.7652303120356612
12_fault,ocsvm,27,8,normals_only,0.6236196136701337,0.9108469539375929,0.9138187221396731,0.6793191734478369,0.8321342671706539,0.577147102526003,0.8855869242199108
12_fault,ocsvm,27,8,gaussian_jitter,0.6236196136701337,0.9108469539375929,0.9138187221396731,0.6793191734478369,0.7660822231194496,0.6304754829123329,0.7904903417533432
12_fault,ocsvm,27,8,uniform_box,0.6236196136701337,0.9108469539375929,0.9138187221396731,0.6793191734478369,0.6390118508547771,0.6194858841010402,0.7919762258543833
12_fault,ocsvm,27,8,uniform_shell,0.6236196136701337,0.9108469539375929,0.9138187221396731,0.6793191734478369,0.7767533542621065,0.631037147102526,0.8216939078751857
12_fault,ocsvm,27,8,wide_shell,0.6236196136701337,0.9108469539375929,0.9138187221396731,0.6793191734478369,0.7592383536983649,0.6057919762258543,0.8291233283803864
12_fault,ocsvm,27,8,multiscale_shell,0.6236196136701337,0.9108469539375929,0.9138187221396731,0.6793191734478369,0.7654333298480039,0.6493194650817237,0.8157503714710252
12_fault,ocsvm,27,8,shell_box_mix,0.6236196136701337,0.9108469539375929,0.9138187221396731,0.6793191734478369,0.7842099776581988,0.5929925705794947,0.8246656760772659
12_fault,ocsvm,27,6,normals_only,0.6088320950965824,0.8989598811292719,0.9019316493313522,0.6858135782344119,0.7926829498736149,0.5717295690936107,0.8588410104011887
12_fault,ocsvm,27,6,gaussian_jitter,0.6088320950965824,0.8989598811292719,0.9019316493313522,0.6858135782344119,0.8713459155823828,0.6205794947994057,0.8603268945022289
12_fault,ocsvm,27,6,uniform_box,0.6088320950965824,0.8989598811292719,0.9019316493313522,0.6858135782344119,0.8286095441126173,0.5736582466567608,0.8469539375928677
