dataset,d,seed,sampler,teacher_auroc,mean_head_fid,min_head_fid,fid_ae,fid_kde,fid_knn,fid_iforest,fused_fid,student_auroc
23_mammography,6,9,shell_box_mix,0.8782903634826712,0.763320888669188,0.5783184272748441,0.7556958576883924,0.9118124397026665,0.5783184272748441,0.8074568300108493,0.8546323031891616,0.8355600169061708
47_yeast,8,5,normals_only,0.46534609536025295,0.8501883471535916,0.6714434684604842,0.6714434684604842,0.9101964823141978,0.8986469483019063,0.9204664895377783,0.9097318527678652,0.4362967534274754
47_yeast,8,5,uniform_shell,0.46534609536025295,0.7974856967118206,0.5944362315284203,0.5944362315284203,0.8976672300353629,0.8657495926664772,0.8320897326170219,0.8928495759541779,0.44021732554059123
47_yeast,8,5,disagreement_shell,0.46534609536025295,0.7379182966529823,0.5479439958417222,0.5479439958417222,0.7879187110075122,0.7906500439906393,0.8251604357720553,0.8033888675828813,0.45746058251957256
47_yeast,8,5,shell_box_mix,0.46534609536025295,0.7644871464922818,0.4884569575420121,0.4884569575420121,0.8848228841561416,0.8373166768950852,0.8473520673758882,0.8682010061448777,0.4202474155282084
19_landsat,36,1,normals_only,0.7409111101304737,0.6329055976462206,0.3452726608046922,0.3452726608046922,0.6957380781234046,0.6966359990256895,0.793975652631096,0.7319692073024333,0.6661347689863641
19_landsat,36,1,uniform_shell,0.7409111101304737,0.5616188555222601,0.3621291582468533,0.3621291582468533,0.5402159375290964,0.6619645966639761,0.6821657296491147,0.552815677682539,0.6348969595340012
19_landsat,36,1,disagreement_shell,0.7409111101304737,0.4521736389565603,0.19980208290048118,0.19980208290048118,0.4633230920072496,0.5500368112409803,0.5955325696775302,0.4472897469879849,0.6630751805598458
19_landsat,36,1,shell_box_mix,0.7409111101304737,0.4623573814560654,0.1597404497199911,0.1597404497199911,0.44755276403687005,0.5601513632591867,0.6819849488082138,0.4262397804970105,0.6242125237191651
47_yeast,8,2,normals_only,0.4482117431621915,0.8605763533394444,0.7240738600761585,0.7240738600761585,0.9060405984568517,0.8907946537216171,0.9213963011031499,0.8952872696936954,0.42142923407670935
47_yeast,8,2,uniform_shell,0.4482117431621915,0.8021561398363668,0.573307557412273,0.573307557412273,0.9092542401129255,0.852407100563384,0.8736556612568847,0.9021754073220128,0.4555769331606991
47_yeast,8,2,disagreement_shell,0.4482117431621915,0.7680217057318584,0.5247364590090574,0.5247364590090574,0.8545908410153896,0.863602131255545,0.8291573916474413,0.8475495763685326,0.44631599327210464
47_yeast,8,2,shell_box_mix,0.4482117431621915,0.7406916175618182,0.6332345481440831,0.6332345481440831,0.8156315706845091,0.7572510431375294,0.7566493082811516,0.823667194124637,0.42523283438809634
32_shuttle,9,5,normals_only,0.9987030182131293,-0.3112994258994532,-0.5562094572222473,-0.01758244922978085,-0.22988931466740084,-0.5562094572222473,-0.44151648247838376,-0.3120764501971889,0.4954581894200237
32_shuttle,9,5,uniform_shell,0.9987030182131293,0.38304410372991293,0.24244853326510557,0.36888723619149116,0.24244853326510557,0.4242380745591674,0.49660257090388754,0.28373075454425384,0.990409472750686
32_shuttle,9,5,disagreement_shell,0.9987030182131293,0.26412220461230274,-0.02442752952623423,0.3174577685602912,-0.02442752952623423,0.2276966762661906,0.5357619031489633,0.2735373937176084,0.9918238212171564
32_shuttle,9,5,shell_box_mix,0.9987030182131293,0.36602065783983284,0.21993270814414773,0.21993270814414773,0.3115603908727611,0.38934986877822675,0.5432396635641958,0.3005096636744714,0.9451436737110335
28_pendigits,16,8,normals_only,0.9988463066532197,0.339569471005674,0.054871900238655937,0.054871900238655937,0.2290211945441039,0.29175451628708254,0.7826302729528535,0.373526576156533,0.9480341370984995
28_pendigits,16,8,uniform_shell,0.9988463066532197,-0.14534937016958796,-0.31844921053879344,-0.31844921053879344,-0.28070047889238353,-0.23153103317475618,0.24928324192758133,-0.23185029476379382,0.9233557959720058
28_pendigits,16,8,disagreement_shell,0.9988463066532197,0.6314543787833288,0.4789650866905849,0.5939466738316131,0.4789650866905849,0.704259455358695,0.748646299252422,0.5556574101879217,0.6833455578985972
28_pendigits,16,8,shell_box_mix,0.9988463066532197,0.45164214252975293,0.29126772138894597,0.3817546743373741,0.29126772138894597,0.4841206872026678,0.6494254871900238,0.40043621880482366,0.9432245347024847
32_shuttle,9,6,normals_only,0.9981296060048552,-0.1286148607148631,-0.4291379476252077,-0.4291379476252077,0.1319674965848147,-0.4178710180474567,0.20058202622839721,-0.40321983870363226,0.0896012122158519
32_shuttle,9,6,uniform_shell,0.9981296060048552,-0.24612291021328614,-0.5269530829408052,-0.5141790626318914,-0.013746490690478353,-0.5269530829408052,0.07038699541003049,-0.5293417962929794,0.7422761677959628
32_shuttle,9,6,disagreement_shell,0.9981296060048552,0.42792492659626447,0.16873613952654792,0.6637431667431103,0.16873613952654792,0.6111075987687017,0.26811280134669774,0.668029660417431,0.9587833014207267
32_shuttle,9,6,shell_box_mix,0.9981296060048552,0.171172410767194,-0.21831052740081247,0.02033057879515709,-0.21831052740081247,0.6477944668939907,0.23487512478044073,0.15885017099767487,0.8126969003499905
41_Waveform,21,4,normals_only,0.7358443113772455,0.4328532853285328,0.3328292829282928,0.4328832883288328,0.3328292829282928,0.37075307530753077,0.5949474947494748,0.47962796279627956,0.5961676646706586
41_Waveform,21,4,uniform_shell,0.7358443113772455,0.2787188718871887,-0.0531053105310531,0.17669366936693667,0.48100810081008094,0.5102790279027902,-0.0531053105310531,0.29862586258625856,0.6963832335329341
41_Waveform,21,4,disagreement_shell,0.7358443113772455,0.27925592559255924,-0.11038703870387037,0.24908490849084908,0.48766876687668764,0.4906570657065706,-0.11038703870387037,0.3645844584458446,0.6864790419161677
41_Waveform,21,4,shell_box_mix,0.7358443113772455,0.272043204320432,-0.3027542754275427,0.1096069606960696,0.6377077707770776,0.6436123612361235,-0.3027542754275427,0.3341614161416141,0.7220239520958083
31_satimage-2,36,4,normals_only,0.9974936850692431,-0.08857607565646064,-0.3301921593614809,0.09212247224923706,-0.3301921593614809,-0.09192125825815756,-0.024313357255441162,-0.15235252691237128,0.975290683388538
31_satimage-2,36,4,uniform_shell,0.9974936850692431,-0.11349307488514035,-0.3468929206210805,0.02112746906334887,-0.14336496864415307,-0.3468929206210805,0.015158120661323318,-0.1771018478151514,0.48969462272588776
31_satimage-2,36,4,disagreement_shell,0.9974936850692431,0.08927194070894395,-0.05483081256916731,0.05429424192628861,-0.05483081256916731,0.10449713270062712,0.2531272007780274,0.005265099433247259,0.5184337005985671
31_satimage-2,36,4,shell_box_mix,0.9974936850692431,-0.7405429424192629,-0.7943257654515578,-0.7419095207753446,-0.7006271169388645,-0.7943257654515578,-0.7253093665112849,-0.7192729467788994,0.4866182440069587
47_yeast,8,6,normals_only,0.4649145097469779,0.8809093286397709,0.7929076316277734,0.7929076316277734,0.8964170763788913,0.8882277734475172,0.9460848331049013,0.9144570597494629,0.43648632841648416
47_yeast,8,6,uniform_shell,0.4649145097469779,0.7588725275119899,0.6392241809937419,0.6392241809937419,0.7823514435421236,0.822290155903194,0.7916243296089001,0.834775854916984,0.4513982163816992
